Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_ZenMap_ShowList,"SHOW LIST","SHOW LIST","Zobrazit seznam","Liste anzeigen","Показать список","Lista show","Showlista","Elenco degli spettacoli","Lista de exhibición","Liste des expositions","顯示列表","表示リスト","Lista de shows","显示列表"
STR_ZenMap_HideList,"HIDE LIST","HIDE LIST","Skrýt seznam","Liste ausblenden","Скрыть список","Ukryj listę","Lista elrejtése","Elenco nascondi","Escondite","Cachette","隱藏列表","リストを非表示にします","Ocultar lista","隐藏列表"
STR_ZenMap_Untitled,"Untitled","Untitled","Bez názvu","Ohne Titel","Без названия","Nieuprawny","Cím nélküli","Senza titolo","Intitulado","Sans titre","無題","無題","Sem título","无题"
STR_ZenMap_CreateMarker,"CREATE MARKER","CREATE MARKER","Vytvořte značku","Marker erstellen","Создать маркер","Utwórz znacznik","Készítsen jelölőt","Crea marcatore","Crear marcador","Créer un marqueur","創建標記","マーカーを作成します","Criar marcador","创建标记"
STR_ZenMap_EditMarker,"EDIT MARKER","EDIT MARKER","Upravit značku","Marker bearbeiten","Редактировать маркер","Edytuj znacznik","Jelölő szerkesztési jelölése","Modifica marcatore","Marcador de edición","Modifier le marqueur","編輯標記","マーカーを編集します","Editar marcador","编辑标记"
STR_ZenMap_TooMany,"You have too many map markers!","You have too many map markers!","Máte příliš mnoho mapových značek","Sie haben zu viele Kartenmarkierungen","У вас слишком много маркеров карты","Masz zbyt wiele znaczników map","Túl sok térképjelzője van","Hai troppi marcatori di mappe","Tienes demasiados marcadores de mapa","Vous avez trop de marqueurs de carte","你有太多的地圖標記","マップマーカーが多すぎます","Você tem muitos marcadores de mapa","你有太多的地图标记"
STR_ZenMap_Create,"CREATE","CREATE","VYTVOŘIT","ERSTELLEN","СОЗДАВАТЬ","TWORZYĆ","TEREMT","CREARE","CREAR","CRÉER","創造","作成する","CRIAR","创造"
STR_ZenMap_Confirm,"Are you sure you want to delete all markers?","Are you sure you want to delete all markers?","en","en","en","Czy na pewno chcesz usunąć wszystkie markery","Biztos benne, hogy törölni akarja az összes markert","Sei sicuro di voler eliminare tutti i marcatori","¿Estás seguro de que quieres eliminar todos los marcadores?","Êtes-vous sûr de vouloir supprimer tous les marqueurs","您確定要刪除所有標記嗎","すべてのマーカーを削除することを確認してください","Tem certeza que deseja excluir todos os marcadores","您确定要删除所有标记吗"
STR_ZenMap_DeleteMarker,"DELETE MARKER","DELETE MARKER","Odstranit značku","Marker löschen","Удалить маркер","Usuń znacznik","Törölje a marker","Elimina marcatore","Eliminar marcador","Supprimer le marqueur","刪除標記","en","Excluir marcador","删除标记"
STR_ZenMap_DeleteAll,"DELETE ALL","DELETE ALL","Odstranit všechny","Alle löschen","Удалить все","Usuń wszystko","Törölje az összeset","Elimina tutto","Eliminar todo","Supprimer tout","刪除全部","すべてを削除します","Exclua tudo","删除全部"
STR_ZenMap_CantDeleteServer,"You cannot delete server markers.","You cannot delete server markers.","Značky serveru nemůžete mazat","Sie können Servermarkierungen nicht löschen","Вы не можете удалить маркеры сервера","Nie możesz usunąć znaczników serwera","Nem törölheti a szerver markereket","Non è possibile eliminare i marcatori del server","No puede eliminar marcadores de servidor","Vous ne pouvez pas supprimer les marqueurs du serveur","您無法刪除服務器標記","サーバーマーカーを削除することはできません","Você não pode excluir marcadores do servidor","您无法删除服务器标记"
STR_ZenMap_NoMarkers,"You have no markers to delete.","You have no markers to delete.","Nemáte žádné značky, které by bylo možné smazat","Sie haben keine Marker zum Löschen","У вас нет маркеров, чтобы удалить","Nie masz markerów do usunięcia","Nincsenek törölni jelölők","Non hai marcatori da eliminare","No tienes marcadores para eliminar","Vous n'avez pas de marqueurs à supprimer","您沒有標記要刪除","削除するマーカーはありません","Você não tem marcadores para excluir","您没有标记要删除"
STR_ZenMap_MergeMapMarkers,"Copy markers","Copy markers","Kopírovat značky","Kopiermarkierungen","Копировать маркеры","Kopiuj znaczniki","Másolójelzők","Copia marcatori","Marcadores de copia","Copier les marqueurs","抄寫標記","マーカーをコピーします","Copiar marcadores","抄写标记"
